Value,ICER,NMB
0.8476523404983178,422329.6131598174,-6401.175655985426
0.791998315285002,414931.6576409808,-6335.3673856925925
0.846750255271514,423237.8232002953,-6400.12860624538
0.7030439806542199,364189.1151312542,-6209.177894466497
0.9722717546893362,576510.216242273,-6578.994156817575
0.6685892435014384,349543.3163731732,-6155.879723188437
0.9102362832115158,488130.16580564633,-6480.8961620578875
0.7273323101220487,379344.40525038354,-6245.566157186944
0.7580911645402739,400842.18120175885,-6295.634223081883
0.9000799347407951,490096.85605160065,-6474.476360504417
0.9499389427205052,573615.7024768085,-6551.649921199454
0.7479343756661597,401367.45179699775,-6283.293960787465
0.8188594942140572,411945.435886058,-6359.239265389103
0.8092063086564553,402089.2435991984,-6344.28995130911
0.847644381561983,422329.6131598174,-6401.175655985426
0.8250916248139781,429324.78841906256,-6373.554629425014
0.7607043749640922,403471.4393364532,-6298.191225252323
0.929792661566272,546667.4632503428,-6526.399386537332
0.810414151773716,402089.2435991984,-6344.28995130911
0.7104096805209643,365414.792681881,-6219.335529922121
0.8631470176445608,440891.334198233,-6419.291770119525
0.7290878722563331,381957.3396248159,-6251.276053974676
0.8936282978382746,470059.9399426495,-6461.562657082307
0.7837916620301795,420851.0928040916,-6328.437284787849
0.8998237702971141,490096.85605160065,-6474.476360504417
0.6791820736453373,352140.2686694989,-6173.784540650542
0.8125267404141794,405814.18650374375,-6348.786263011793
0.9218932796116037,518661.6247558258,-6512.210187086244
0.7340279953922382,389126.04399011546,-6262.512574080217
0.9447220703131844,561786.3101512472,-6542.704858196958
0.7650030501419112,404488.9800619217,-6302.309724776478
0.8045630334779508,405832.51005999825,-6339.428064660332
0.9668306916051033,583124.9924598432,-6576.757092187792
0.78381322299979,420851.0928040916,-6328.437284787849
0.9399210793785,552047.3828823611,-6533.872600468489
0.7291057700835559,381957.3396248159,-6251.276053974676
0.7467592879846536,401367.45179699775,-6283.293960787465
0.730625384316312,382091.7019575285,-6253.870662031627
0.9150316663281786,510978.9690556072,-6493.631267248293
0.8917689859681192,478113.7783973678,-6459.7521898263985
0.9456982980623123,561786.3101512472,-6542.704858196958
0.699001429607665,365470.90587548935,-6208.622446868462
0.8553968233259963,429046.9112508531,-6409.23318502087
0.785332328702283,423680.6030592809,-6330.541527853986
0.812353349663233,405814.18650374375,-6348.786263011793
0.8840704729729653,459378.97922881844,-6443.743140489948
0.7866745204087752,423680.6030592809,-6330.541527853986
0.6341867562766682,331376.45062477654,-6083.714697437417
0.9202672214547087,519832.63090559316,-6509.232492046154
0.7789392662815199,426533.54893559584,-6322.592627361522
0.8512040157078384,421448.3007232218,-6401.441305991679
0.7208623930032185,380386.1150097358,-6237.99210142068
0.8212918332475019,420760.26728127047,-6367.250297049849
0.849483845680816,421448.3007232218,-6401.441305991679
0.8211391932237339,420760.26728127047,-6367.250297049849
0.8544083145142873,429046.9112508531,-6409.23318502087
0.8111580889874745,402089.2435991984,-6344.28995130911
0.8735931175654325,452034.9100002827,-6433.0279314510835
0.6340454506579521,331376.45062477654,-6083.714697437417
0.740961819283876,385851.11149641644,-6267.148156652368
0.8007656862204975,409692.02151419496,-6337.572726195088
0.63155815831399,327592.6582573555,-6077.674634751057
0.8323846008065987,425578.8979697918,-6381.043472387036
0.7918971317396885,414931.6576409808,-6335.3673856925925
0.8147724531426256,415378.0454919608,-6358.156391433041
0.7329600974973667,390328.6827002961,-6262.074098617146
0.9851345672258501,605477.5596104315,-6593.256818770019
0.6731801310852235,349112.34206422983,-6164.856403300777
0.6743299053699421,349607.5044221651,-6169.650163706179
0.8624396149219307,440891.334198233,-6419.291770119525
0.8873511862890884,470114.46730288543,-6455.224491789321
0.7378715186208312,386258.3026408787,-6266.012262083721
0.900216414554901,490096.85605160065,-6474.476360504417
0.8710054528802621,455769.17856562143,-6432.093466501396
0.7183330441277749,377058.19502319465,-6232.776958009057
0.7757566411583121,423097.25555398193,-6320.079565701606
0.6879855973201302,360665.2838958186,-6194.299625673351
0.9363657248052446,551121.207888717,-6530.489659297329
0.6702089207543451,349938.8569539188,-6160.763354148202
0.8270449297871348,430598.6817052581,-6376.947576456538
0.7528640356789161,399900.68181028165,-6286.370740576006
0.7665454836840033,407163.5296294819,-6305.431790423916
0.6024367757262318,333386.8277470181,-6042.642964420096
0.8431040175738118,423416.34342910274,-6393.967354648054
0.7254211167126879,378084.08901250735,-6244.337114632694
0.7621888892582245,403471.4393364532,-6298.191225252323
0.7739529351527945,414352.3122113125,-6313.445919237604
0.9024717644347366,490096.85605160065,-6474.476360504417
0.6960287898785209,363102.5999910427,-6202.092544944184
0.9269095468833461,534149.8176549791,-6521.208191068002
0.7193381049723426,376650.7163072206,-6234.349370920551
