,early_val,late_val,intermediate_val,icer,mean death,median death,survival rate
0,0.05,0.55,0.3999999999999999,160856.90545085384,3.675627240143369,2.0,0.2482078853046595
1,0.05,0.65,0.29999999999999993,173945.00356837653,3.2455197132616487,2.0,0.21415770609318996
2,0.05,0.75,0.19999999999999996,176670.87639775846,2.913978494623656,2.0,0.17652329749103943
3,0.05,0.85,0.09999999999999998,187909.97350673858,2.685483870967742,2.0,0.14874551971326164
4,0.05,0.95,0.0,191032.36450641023,2.39336917562724,2.0,0.10842293906810035
5,0.1,0.55,0.35,161395.642070672,3.697132616487455,2.0,0.2517921146953405
6,0.1,0.65,0.25,175624.0912613272,3.263440860215054,2.0,0.21594982078853048
7,0.1,0.75,0.15000000000000002,181946.37416678516,2.9372759856630823,2.0,0.18100358422939067
8,0.1,0.85,0.050000000000000044,191632.66840273858,2.7204301075268815,2.0,0.1532258064516129
9,0.09523809523809523,0.9047619047619047,1.1102230246251565e-16,188899.46340264552,2.5492831541218637,2.0,0.12992831541218638
10,0.15,0.55,0.29999999999999993,163809.22421661863,3.742831541218638,2.0,0.2589605734767025
11,0.15,0.65,0.19999999999999996,177547.57993372547,3.314516129032258,2.0,0.21953405017921146
12,0.15,0.75,0.09999999999999998,183403.41535974338,2.96415770609319,2.0,0.18369175627240145
13,0.15,0.85,0.0,194504.69409626914,2.746415770609319,2.0,0.15770609318996415
14,0.13636363636363638,0.8636363636363636,0.0,192780.38912315428,2.689068100358423,2.0,0.1478494623655914
15,0.2,0.55,0.25,171291.48374293972,3.7885304659498207,2.0,0.2625448028673835
16,0.2,0.65,0.15000000000000002,178978.5778007731,3.35752688172043,2.0,0.22670250896057348
17,0.2,0.75,0.050000000000000044,186691.44941810722,2.978494623655914,2.0,0.18458781362007168
18,0.19047619047619047,0.8095238095238094,1.1102230246251565e-16,191925.62082857103,2.825268817204301,2.0,0.16756272401433692
19,0.1739130434782609,0.8260869565217391,0.0,190509.2284920639,2.781362007168459,2.0,0.16308243727598568
20,0.25,0.55,0.19999999999999996,169651.55080085094,3.817204301075269,2.0,0.26523297491039427
21,0.25,0.65,0.09999999999999998,173244.49419975196,3.3879928315412187,2.0,0.2302867383512545
22,0.25,0.75,0.0,187768.32087859727,3.003584229390681,2.0,0.18996415770609318
23,0.22727272727272727,0.7727272727272727,0.0,189907.74426563783,2.943548387096774,2.0,0.18100358422939067
24,0.20833333333333334,0.7916666666666666,0.0,189408.4144099022,2.8978494623655915,2.0,0.17383512544802868
