Value,ICER,NMB
389.84702701036525,192140.48867904037,-5133.840183945518
294.3378260174831,176584.5863913749,-4267.103775154217
401.2567772101691,194050.86264419233,-5240.281497305856
361.3578222532372,187501.0090493859,-4875.339851498997
292.26492420870824,176311.67582492446,-4251.897873245587
330.5165478998789,182588.61885328093,-4601.633617143845
279.2491718997424,174128.39129332255,-4130.250657976649
354.92794391330204,186409.36678358482,-4814.51624386452
364.7704942660736,188046.8301822863,-4905.751655316228
322.9744631344871,181224.06602102966,-4525.604107600753
342.80289860513534,184498.9928184329,-4708.074930504183
438.0802859069996,200054.89510609835,-5574.811339295484
343.26258631451344,184498.9928184329,-4708.074930504183
369.82636529228927,188865.56188163717,-4951.369361042089
338.17869775476925,183680.26111908202,-4662.457224778322
312.6910720477746,179586.60262232766,-4434.368696149017
323.74979103225485,181496.97658747988,-4540.810009509369
327.9556129492539,182042.79772038,-4571.221813326585
324.79401511883583,181496.97658747988,-4540.810009509369
404.9925889051119,194596.68377709272,-5270.693301123087
310.0629030499523,179313.69205587747,-4419.162794240401
347.45743961350126,185317.72451778347,-4753.692636230029
391.98060532586095,192686.30981194106,-5164.251987762764
399.89884383035354,193777.9520777421,-5225.07559539724
331.6994660302879,182861.52941973088,-4616.839519052446
378.97374171158174,190503.02528033892,-5042.604772493811
402.53737476685063,194323.7732106425,-5255.487399214471
422.67221274952163,197598.700008046,-5437.958222117915
414.4041888107502,196234.14717579447,-5361.928712574809
345.28576394003704,185044.81395133355,-4738.486734321428
377.5917217173705,190230.1147138887,-5027.398870585195
426.73385149962354,198417.43170739687,-5483.575927843776
310.91591379111827,179313.69205587747,-4419.162794240401
307.49582388790554,178767.87092297705,-4388.75099042317
307.4974085792814,178767.87092297705,-4388.75099042317
422.08823538444864,197598.700008046,-5437.958222117915
349.0946077695972,185590.63508423395,-4768.898538138659
326.1367341446871,181769.88715393006,-4556.015911417984
333.95106967033183,183134.4399861816,-4632.045420961091
383.9791657629179,191321.7569796895,-5088.222478219657
325.8843433710609,181769.88715393006,-4556.015911417984
302.29381640866785,177949.13922362617,-4343.133284697309
369.5481393088113,188865.56188163717,-4951.369361042089
389.1462102779296,192140.48867904037,-5133.840183945518
283.5636791578033,174947.12299267316,-4175.868363702495
443.57324813984167,201146.53737189967,-5635.634946929975
298.0951598519319,177130.4075242753,-4297.515578971448
375.5958234632634,189957.2041474385,-5012.19296867658
354.77025520191523,186409.36678358482,-4814.51624386452
332.48191174832846,182861.52941973088,-4616.839519052446
400.00193698402495,194050.86264419233,-5240.281497305856
299.02840497082803,177403.31809072552,-4312.721480880064
423.73388390686534,197871.6105744962,-5453.164124026531
