Value,ICER,NMB
4719.271850928186,276469.8537121749,-9832.463873708926
3565.6841002523006,-38468.939971441185,7715.14692883793
4857.047494772339,313858.6013158626,-11915.672435189801
4375.227848990262,182588.61885328067,-4601.633617143831
3540.640380921618,-45291.704132698345,8095.294476553434
4002.7276805009706,80792.97756732792,1070.1677947712597
3383.3833624202825,-88138.66306539113,10482.621076206677
4297.572577511334,161301.5946701594,-3415.573268271517
4416.442602870015,193777.95207774185,-5225.075595397226
3911.625632155515,55958.11602035322,2453.9048684556183
4151.128778827971,121183.74140196889,-1180.3056877044437
5301.658322051825,435303.8033862347,-18682.29878452547
4156.6809520261195,122821.20480067063,-1271.5410991561657
4477.501038853354,210425.49663120892,-6152.635611823032
4095.276310951509,106173.66024720408,-343.98108273038815
3787.404872761242,22117.20578051947,4339.436705124419
3920.991111913882,58414.31111840582,2317.051751278035
3971.7941486899867,72332.75000736982,1541.5507539384416
3933.60462866056,61962.14848225976,2119.375026465961
4902.156973197389,326139.5768061251,-12599.938021077687
3755.6561078461236,13384.067654111157,4826.025566200216
4207.346396424997,136739.6436896349,-2047.0420964957739
4745.035850395456,283292.6178734321,-10212.61142142443
4840.650442667502,309492.0322526586,-11672.37800465191
4017.016006876111,84613.72549763233,857.2851680505555
4587.967980481408,240445.65894073932,-7825.284821771187
4872.510633507997,318225.1703790664,-12158.966865727678
5115.627270975338,384542.4380264834,-15854.001029522231
5015.797932854003,357251.3813814561,-14333.41083866029
4181.117026139806,129371.05839547732,-1636.4827449630393
4571.278507745702,236079.08987753448,-7581.990391233252
5164.666943309331,397915.0557825472,-16599.090223044608
3765.9606866601207,16113.173318613968,4673.966547114018
3724.6448577292767,4923.840094152003,5297.408525367457
3724.6640015193507,4923.840094152003,5297.408525367457
5108.576346020793,382632.06406133145,-15747.559716161893
4227.119830971472,141924.94445219004,-2335.954232759541
3949.8236570094996,66328.71754546405,1876.0805959280551
4044.2126131679292,92255.22135824009,431.51991460920544
4648.413359868478,257093.2034942053,-8752.844838196936
3946.7749766450256,65509.98584611344,1921.6983016539016
3661.801294862593,-12269.52559221468,6255.380345610451
4474.141012811361,209333.85436540758,-6091.812004188541
4710.809096265289,274013.6586141226,-9695.610756531358
3435.512925180879,-73947.31360997693,9691.914176958468
5367.975668384621,453315.90077195247,-19685.888310494338
3611.077438614441,-26187.964481178933,7030.881342950059
4547.1755730523855,229256.32571627735,-7201.842843517748
4295.668101156156,160755.7735372587,-3385.1614644542715
4026.467026282058,87342.83116213515,705.226148964357
4841.895296178973,309764.94281910826,-11687.583906560496
3622.352057982968,-22913.03768377598,6848.410520046644
5128.445816272599,388090.27539033705,-16051.67775433429
3629.138314190371,-21275.574285074243,6757.175108594922
4592.724954708585,241810.21177299033,-7901.314331314265
5226.280725381794,414835.51090246346,-17541.856141378972
4474.218067070396,209606.7649318578,-6107.017906097157
4155.6998922905805,122548.29423422042,-1256.3351972475502
4997.154737764694,352066.0806189009,-14044.498702396522
4000.0666731099764,79974.24586797757,1115.7855004970916
3642.10944579501,-17727.736921220563,6559.498383782862
4792.636220574003,296392.32506304496,-10942.494713038148
5030.815468397598,361345.0398782099,-14561.499367289565
4340.122564078196,172763.83846107076,-4054.2211484335276
4325.746224518187,168943.09053076713,-3841.338521712867
3661.419967671521,-12269.52559221468,6255.380345610451
5092.881087304124,378265.4949981269,-15504.265285623973
3332.2448495885237,-102057.10195435512,11258.12207354627
4907.625876418931,327777.0402048261,-12691.173432529366
3480.6663466478785,-61666.33811971416,9007.648591070567
4052.143691199881,94165.59532339177,325.0786012488825
3995.8319213765344,78882.6036021765,1176.609108131568
4561.867362333596,233349.98421303194,-7429.931372147068
4542.890246747464,228164.68345047627,-7141.019235883272
3726.999862741631,5469.661227053191,5266.996721550182
4464.748978228953,206877.659267355,-5954.958887010958
4088.3918063396086,104263.28628205188,-237.53976937003608
3948.6857051819193,66055.80697901412,1891.286497836656
3278.348661719484,-116794.27254266998,12079.240776611725
4440.361519501308,200327.80567254854,-5590.017241204099
3555.9314429714823,-41198.04563594374,7867.205947924114
4693.860914881458,269374.1789844678,-9437.110424084822
4044.536506739115,92255.22135824009,431.51991460920544
4981.888506510715,347972.4221221471,-13816.410173767246
4985.533219208831,349064.06438794767,-13877.233781401694
4164.6694919835,125004.4893322733,-1393.1883144251478
4490.50140823159,213973.33399506233,-6350.312336635077
3390.266750360043,-86228.28910023945,10376.179762846354
4674.323109409888,264188.8782219124,-9148.19828782104
4566.520522984679,234714.5370452832,-7505.96088169016
4983.527950031254,348518.24325504724,-13846.821977584463
3058.9834212854735,-176834.59716172997,15424.53919650799
4418.48950806886,194323.7732106425,-5255.487399214471
3898.381242927576,52410.27865650032,2651.581593267634
3925.1166960099536,59505.953384207154,2256.228143643544
3961.5404221236886,69603.64434286726,1693.6097730246256
3954.671479085464,67693.27037771558,1800.0510863849486
4548.001905381067,229529.23628272806,-7217.048745426393
4044.9983412247616,92255.22135824009,431.51991460920544
3940.11829973748,63599.61188096098,2028.1396150142682
4246.485699427309,147383.15578119538,-2640.0722709319234
3629.2339105946985,-21002.663718623517,6741.969206686277
4542.584140206701,228164.68345047627,-7141.019235883272
3385.181999979068,-87865.75249894067,10467.415174298047
4431.588831620113,197871.6105744962,-5453.164124026531
3822.9656208347537,31669.075606279173,3807.2301383227314
5093.966461618257,378538.4055645771,-15519.471187532588
4283.703604365469,157480.84673985525,-3202.6906415508274
4843.890418090285,310310.7639520087,-11717.995710377727
