Value,ICER,NMB
139794.48448180163,184054.4009757897,-4683.303372420021
63783.5282736791,196902.6468645007,-5399.1758621616755
150485.16842497257,182246.2567801206,-4582.558049021216
114529.5440139238,188324.33734349036,-4921.213668118056
62422.62365013973,197132.5450548272,-5411.985220833798
89597.00868632118,192538.60795099806,-5156.022405308584
54181.26425614189,198526.06716736732,-5489.628827039269
109118.90915507934,189240.28859688772,-4972.248206990611
117445.6417526054,187832.0880098647,-4893.786752483924
83901.24339051745,193501.41787989822,-5209.667793707893
99217.94111435104,190913.7760221055,-5065.490788119496
187106.34980804325,176056.29919246014,-4237.668918780706
99586.01525527205,190850.7148032489,-5061.977172942759
121821.8263501441,187091.07499961415,-4852.499339931746
95547.68689005545,191533.55941947058,-5100.023586418611
76398.5541073087,194770.61437554727,-5280.384283972919
84479.29430715658,193403.94657813836,-5204.236933801134
87644.87754189574,192868.91313798077,-5174.426193547697
85260.54102345661,193271.5196895712,-5196.858435035741
74530.54182292394,195084.98977112898,-5297.900503626399
102971.55498593624,190278.06283333938,-5030.070421234748
141769.24931531798,183718.6574600734,-4664.596573951785
149196.11164477366,182464.68494281312,-4594.728326116689
90504.96534257008,192386.44945401163,-5147.544510114443
129907.26477906622,185724.67995415803,-4776.367186824311
151704.91092474302,182040.8227139325,-4571.11177085113
171398.01883314422,178712.16784588998,-4385.647352710599
163195.21584283892,180097.58868675213,-4462.839576091021
101212.86337299258,190575.36956344562,-5046.635617055377
128671.95129950187,185934.57378411345,-4788.061952003394
175485.9562260789,178020.51614497814,-4347.110230253995
75134.60489662479,194983.87696145926,-5292.266747903632
72725.6199976687,195391.64908982997,-5314.986802556421
72726.72818023685,195391.64908982997,-5314.986802556421
170813.40450080056,178809.09364374445,-4391.047818488674
104305.86177717207,190051.80615092226,-5017.463958378605
86269.68461980873,193101.74702320417,-5187.39912188008
92244.06497046827,192091.5329148964,-5131.112489825362
134421.8593052626,184961.97820555762,-4733.87133140325
86079.60379173848,193133.4941631628,-5189.167994014162
69128.13789510175,195998.7111426427,-5348.810798994455
121579.27556562811,187132.8805411813,-4854.8286413310125
139148.29769066945,184162.0909882649,-4689.303593618984
56854.61039793697,198074.0993064379,-5464.446295455637
192836.57112505383,175086.3665568489,-4183.626670776503
66283.71310423143,196481.014517504,-5375.68355040063
126896.51867146279,186233.56489219822,-4804.720997199853
108987.59943347903,189260.9987702723,-4973.402126639427
91107.69989505543,192283.81257547124,-5141.825837042925
149293.81854007166,182448.3220903514,-4593.816628439628
66911.35188978541,196374.7361310545,-5369.7619815131475
172462.87691715217,178531.3582129494,-4375.573087069701
67290.40248278512,196309.71778226655,-5366.139319896232
130260.25496893516,185664.82718215062,-4773.032338372155
180676.01282964085,177142.4561732855,-4298.186899900364
121584.83564407006,187131.90197621577,-4854.77411811093
99520.93493874573,190861.20626591786,-5062.561731299356
161681.1790604541,180353.3626272448,-4477.0906675767765
89428.35021114026,192567.6921480121,-5157.642904846725
68017.56637786797,196187.3492953074,-5359.321250395995
145447.3544145692,183098.16824969582,-4630.024449496952
164418.9109772968,179890.9033036467,-4451.323577636562
112069.96585916188,188739.3924876803,-4944.339514402833
111069.19127895548,188909.71065795195,-4953.829221687134
69106.55608205305,196002.6254025046,-5349.028891874768
169514.9154323518,179029.4789363683,-4403.327142024325
51615.929662902774,198959.71504590235,-5513.7906145055895
154489.56921276794,181569.28355369245,-4544.8387748658715
59217.3454437056,197674.15569779158,-5442.162426563504
92753.90054585271,192005.80439272412,-5126.335908559646
89160.22831321364,192613.1391974889,-5160.175102061985
127977.51005023358,186051.07088127907,-4794.552882183125
126581.92738929305,186288.0917783172,-4807.759100460171
72862.00089167325,195368.43628260892,-5313.693442338757
120902.35734741668,187247.9660123207,-4861.240919199234
95099.38151774154,191608.79647897417,-5104.2156093277445
86198.71371398648,193113.2170508384,-5188.038203456745
48974.14202319118,199405.8115170382,-5538.646006768715
119152.013794956,187543.3156124956,-4877.697068579684
63251.991858378984,196992.56239848823,-5404.185733372084
137857.87370032846,184381.77046787553,-4701.543590998874
92264.86225147151,192087.61865503396,-5130.894396945019
160445.60244119307,180563.25645719917,-4488.785432755802
160740.24298417466,180512.9165828949,-4485.980619440146
100116.6232622067,190759.54795234327,-5056.8975814479345
122762.17689422036,186931.5210439635,-4843.6093880683475
54530.90227098949,198465.9416434068,-5486.278781522749
136376.385483807,184631.67301857463,-4715.467543164123
128320.66934587309,185993.17523920303,-4791.327080171148
160578.10912179918,180539.7708980261,-4487.4768754738325
38889.770569990374,201110.06751724935,-5633.602936811614
117591.26581928003,187806.91807271258,-4892.384345826096
83086.72732566415,193639.71615825864,-5217.373431793778
84734.47812371798,193361.70797551153,-5201.883503310499
87001.89744400933,192976.87590240932,-5180.4416118110385
86572.31331396002,193050.7013358869,-5184.5549824086775
126957.21790617346,186222.80067757668,-4804.121241778921
92294.52023570408,192084.24989907714,-5130.706698193375
85665.2012744859,193202.85983287363,-5193.032877602833
105619.71203974719,189829.73648031987,-5005.090785467124
67295.74889618729,196308.73921730102,-5366.08479667615
126559.46807269358,186290.48196930898,-4807.892275991762
54272.52609862126,198510.68287987012,-5488.7716525822325
118524.97976292484,187649.59399894532,-4883.6186374671815
78514.93325499834,194413.45487343313,-5260.484239700105
