Value,ICER,NMB
54384.10239001957,187960.4286668247,-4900.9375765286095
45785.17200127484,187313.19811214437,-4864.875490495295
55372.94170886131,188034.02027372364,-4905.037918887494
51882.50615574,187768.62495826467,-4890.250748180377
45591.10766766558,187297.16463493023,-4863.98214479255
49116.84112857983,187562.90150218512,-4878.788345921144
44364.03905855458,187204.89222203172,-4858.840954117317
51311.08304169573,187730.23869087704,-4888.111960283204
52184.73519938421,187795.88831141967,-4891.769794801279
48430.528160364396,187513.7764151545,-4876.051217548447
50226.24777358308,187644.43509544065,-4883.331196120853
58517.99012595173,188269.99596354007,-4918.185900802739
50267.554313831766,187652.18503450177,-4883.763003561267
52631.16911922605,187826.8236487499,-4893.493435300334
49809.9281226102,187614.33236620526,-4881.653946485967
47487.97564131466,187439.54424745543,-4871.91518472576
48501.27227885543,187519.56212902302,-4876.373583218272
48884.263227565876,187544.2206961858,-4877.747497604811
48596.481830212826,187523.87467399787,-4876.613867560198
55695.17678643601,188057.5046809957,-4906.3464119883865
47245.787346196164,187421.3544977545,-4870.901696852088
50643.839828039294,187677.33465796273,-4885.164278390454
54569.55641294941,187971.85059006105,-4901.573977847176
55255.62704169791,188026.0782873676,-4904.595411046699
49224.11273293544,187574.1313781265,-4879.414046839331
53434.97520933176,187886.6875554243,-4896.828904148599
55483.4844549444,188042.45331637788,-4905.507787170936
57210.28030549196,188170.12311608242,-4912.621232708247
56503.72557414517,188116.87753137192,-4909.654520394004
50449.18366055503,187661.30118074885,-4884.270932687723
53313.85061865055,187878.7455690677,-4896.386396307775
57556.120479121426,188194.44013144853,-4913.976116673264
47324.45203572356,187426.6491553254,-4871.1967020792945
47008.70669426986,187405.47052504212,-4870.016681170484
47008.85320762778,187405.47052504212,-4870.016681170484
57160.488586677355,188167.96684359512,-4912.501090537291
50790.379183853925,187691.2118626893,-4885.9374819222285
48718.790225640056,187534.1224373427,-4877.184847593075
49428.02315560599,187586.87696575557,-4880.124199464699
53872.73772552956,187923.21655932753,-4898.864209917068
48695.80995200753,187532.79877295025,-4877.111096286288
46526.6715521076,187369.09102564005,-4867.989705423126
52606.642217784174,187823.19420736816,-4893.291211801436
54323.13076448769,187956.45767364654,-4900.716322608205
44772.45439030444,187238.28284085242,-4860.701396829594
58981.44466000263,188305.05179854942,-4920.139125243295
46136.009651225395,187339.82090449924,-4866.358846652394
