Value,ICER,NMB
48278.907544697344,190278.93783323237,-5030.119174065083
44283.217267440545,181422.15314477304,-4536.641032305357
48724.49954026247,191267.41360059578,-5085.19459951701
47139.5904973003,187751.20339774495,-4889.280061908299
44190.284345061016,181212.11351537914,-4524.938143542095
45858.67855956517,184912.85029624583,-4731.134045780025
43599.54477717191,179902.813861453,-4451.987204465069
46876.82758762363,187172.60166861775,-4857.041804329259
47278.18104249013,188057.21050977884,-4906.330021495611
45537.137731349314,184202.56281254953,-4691.558583589285
46375.29816708206,186055.2369799716,-4794.7850069003325
50124.837029785725,194368.647154935,-5257.987664426037
46394.459866679834,186100.66941615418,-4797.316389898973
47482.4155406962,188514.8227611856,-4931.827044559177
46181.87860467857,185625.44355693142,-4770.837980162876
45093.056754031284,183214.08704518637,-4636.483158137373
45570.35159026889,184275.81407709862,-4695.639962914036
45749.883472830756,184672.6860614966,-4717.752688498571
45615.026294634205,184371.78155973862,-4700.987033738085
48869.142895929646,191583.1348768826,-5102.785808315282
44978.47578607462,182961.41181289707,-4622.404719010214
46568.77541093618,186485.03040301206,-4818.732033637803
48362.67751220286,190463.46441124822,-5040.400538694303
48671.77175825145,191145.9330665777,-5078.426004558918
45908.80015292847,185021.32877642591,-4737.178198449779
47848.71008392593,189326.18033779808,-4977.033882400807
48774.15029932836,191375.8920807756,-5091.2387521867495
49545.620832482346,193082.0637191,-5186.302416848324
49230.88586312829,192387.08406623016,-5147.57986913799
46478.65407529437,186285.1959941695,-4807.597754528164
47793.63004699429,189199.59719350436,-4969.9809826159035
49699.21516164495,193423.2980467649,-5205.315149780639
45015.71412463362,183044.86829799673,-4627.054707988544
44866.1204961499,182711.04235759628,-4608.454752075122
44866.189989124876,182711.04235759628,-4608.454752075122
49523.48259596073,193036.63128291795,-5183.771033849713
46636.54408296099,186636.63554238572,-4827.179097114102
45672.373644596475,184500.67048102085,-4708.168405715056
46003.97518666141,185233.67418280832,-4749.009559405109
48047.43705375348,189763.3821481027,-5001.3936861571565
45661.60243428161,184472.8516526543,-4706.618409388946
44637.090403587004,182205.6918930182,-4580.297873820833
47471.209824550504,188484.20709953213,-4930.121215598338
48251.346126456556,190215.8917892346,-5026.606404393955
43796.7713686255,180342.81250504477,-4476.502840856163
50329.10453708998,194821.15679606688,-5283.200382662835
44450.8893782493,181788.4094675173,-4557.047928929038
47713.92132825334,189025.2758360396,-4960.268227640292
46870.35614915481,187152.19122751537,-4855.904585022028
45941.9078314063,185097.37687426168,-4741.415410409245
48675.77765386896,191156.13828712906,-5078.994614212541
44492.38214227401,181882.0711731688,-4562.26652756102
49585.83284361195,193175.7254247515,-5191.521015480306
44517.32779036343,181937.70882990217,-4565.366520213254
47864.39272398648,189356.3049431534,-4978.712350918999
49891.2646891596,193853.0914698056,-5229.262176518125
47471.46684426024,188484.20709953213,-4930.121215598338
46391.074884274094,186093.26102888948,-4796.903612880065
49171.7966538589,192258.19514494794,-5140.398497161019
45849.33495945602,184892.43985514343,-4729.996826472794
44564.94793828191,182043.88153309352,-4571.282200690926
48516.90547212427,190804.6987389131,-5059.413271626618
49278.41153348759,192493.25676942174,-5153.495549615676
47021.071533012095,187488.32294490433,-4874.633013127517
46972.40878043965,187379.84446472424,-4868.588860457763
44635.69510615207,182200.5892827428,-4580.013568994036
49474.15369347215,192925.35596945122,-5177.571048545244
43404.67438098183,179470.71466142352,-4427.911705535502
48886.6378724962,191626.26153607614,-5105.188719121827
43966.471615236136,180714.17143806524,-4497.194042306684
46031.67441521767,185294.41444981733,-4752.393856884155
45834.45953921007,184857.2126395122,-4728.034053127776
47762.53013506486,189131.4485392309,-4966.183908117964
47699.72953404965,188992.35439739763,-4958.433926487385
44874.66804132993,182731.45279869868,-4609.591971382353
47439.8668866044,188416.05844525894,-4926.324141100413
46157.9532787901,185574.90851047344,-4768.022292337439
45668.35362812558,184493.2620937567,-4707.755628696177
43197.76487159165,179013.10241001623,-4402.414682471906
47358.34040495097,188236.63447751902,-4916.327081298019
44247.063265356206,181338.6966596726,-4531.991043326983
48196.081683340875,190094.41125521652,-5019.837809435863
46005.10687355014,185238.77679308396,-4749.29386423192
49123.336459996484,192146.91983148095,-5134.198511856535
49134.91210414217,192174.73865984776,-5135.74850818266
46422.00930196373,186161.40968316296,-4800.700687378005
47525.735729945336,188605.6876335502,-4936.889810556429
43625.66877134198,179963.55412846175,-4455.371501944101
48132.26029044745,189953.01133639397,-5011.959355613173
47777.910544726314,189169.4725881488,-4968.302514097697
49128.54382245858,192162.22766230794,-5135.05142633697
