Value,ICER,NMB
74421.1893919488,195864.52714245612,-5341.334398314619
34089.86671029755,166642.7500847091,-3713.169240346615
80086.87774753581,199968.81259752723,-5570.015034782962
61026.340574289556,186159.00989942456,-4800.566977362294
33366.63103116445,166119.3988272375,-3684.0094024247082
47798.55306648382,176576.30099847892,-4266.642133550195
28985.506039817796,162945.37657245836,-3507.160731119264
58156.634458332985,184079.8669932784,-4684.722275942055
62572.810108310834,187279.36535779753,-4862.990413084815
44775.0921882453,174384.03966737565,-4144.494753210893
52904.13899884527,180273.94726268222,-4472.66583984188
99486.67915303462,214025.7560486729,-6353.2331638328615
53099.432967732115,180415.86268707292,-4480.573016360082
64893.37278681617,188959.76216938093,-4956.617968136445
50956.6315986424,178863.1191761402,-4394.057987559281
40791.369584566564,171498.69321994236,-3983.73038405244
45081.96813607002,174607.22837954937,-4156.930276351559
46762.387299944545,175824.91607026907,-4224.776823377033
45496.70522893206,174907.3909248475,-4173.654591132814
39799.29518563969,170779.15342890736,-3943.63940617592
54895.63409335784,181717.871803317,-4553.117744705523
75467.83753225525,196623.8051669713,-5383.6394922958425
79403.78601200703,199473.98558753688,-5542.444497395874
48280.45837457217,176924.36762551457,-4286.035545308521
69180.18052547013,192066.50050816525,-5129.717746022507
80733.22333759733,200437.89074582586,-5596.150909268443
91166.71936405005,207996.98116671696,-6017.324735381175
86821.26784947852,204849.95909054787,-5841.980447261769
53962.58312520796,181041.39113545552,-4515.4259146955155
68525.28487010991,191592.57740130211,-5103.311922426437
93332.09757902652,209567.0349391312,-6104.804249146866
40120.11405127671,171012.03205820936,-3956.61482753772
38840.64200200271,170084.816995659,-3904.952697072338
38841.230620380906,170086.34106452964,-3905.0376144210895
90857.03801830817,207773.51970259042,-6004.874015176159
55603.498682358055,182230.28182674144,-4581.667964121836
46032.40557146411,175295.1957853631,-4195.26211899583
49203.45402087771,177592.95519707073,-4323.287591510467
71573.41444846072,193801.17042892138,-5226.3692645105475
45931.503486748785,175221.81559388535,-4191.173556181428
36929.64009906439,168701.2618396796,-3827.864425040112
64764.76200606538,188868.52621251656,-4951.534526228483
74078.69357422674,195615.5895685899,-5327.464212272302
30406.9317794831,163974.76882592,-3564.515921998187
102521.23237622295,216224.6591591634,-6475.750607695809
35418.40692160692,167605.13117412795,-3766.790734870461
67584.01436015569,190909.72770600548,-5065.26522595709
58086.98457138849,184030.16609071742,-4681.953064551883
48600.35554548443,177155.72218594645,-4298.926049321599
79455.56304341173,199512.19975214588,-5544.573696151798
35751.88971072838,167846.17565168833,-3780.221137104687
91730.78755034726,208406.94124727807,-6040.166697319641
35953.28466863317,167992.93603464327,-3788.3982627334626
69367.31317750843,192203.57097399168,-5137.354973430134
96081.07086744164,211558.53553005913,-6215.765737485301
64767.710205829564,188868.79896446964,-4951.5497232928465
53064.902615292835,180390.38657733376,-4479.153550522809
86019.13852773007,204267.7625172916,-5809.541893857197
47709.03440317104,176509.56258638867,-4262.923634259452
36339.62533536263,168272.19467681317,-3803.957863723641
77417.16294304334,198034.63325351386,-5462.247344578471
87469.56043603449,205317.78592192865,-5868.046601462847
59721.877580835564,185214.21182343984,-4747.925164867673
59191.08063565005,184829.72785261786,-4726.5026687664795
36918.17463796045,168691.84467450308,-3827.3397238832695
90169.19321894592,207274.12048598836,-5977.048725742832
27621.245917543336,161955.9953044289,-3452.03485340935
82208.76772194113,201507.0212327674,-5655.720216252055
31662.9844629343,164884.40087503626,-3615.198370434344
49474.02886693163,177789.14373063462,-4334.218731465109
47566.72247313962,176407.38539547764,-4257.230573845925
68157.12179781469,191326.05681400205,-5088.46205435491
67417.22524607266,190789.96750166034,-5058.592483514338
38913.08135592355,170137.5660359613,-3907.891743160013
64405.82689765264,188608.37465265192,-4937.03952461631
50718.73536689464,178690.88268344532,-4384.461396093189
45994.73162292997,175267.92285479992,-4193.742538745428
26216.03836754049,160938.08978891955,-3395.31967516469
63477.68048728792,187935.21487448356,-4899.532726368096
33807.395426020325,166437.14438596898,-3701.7133992351446
73394.72128172546,195120.76255859956,-5299.893674885214
49214.49144431986,177602.3723622467,-4323.81229266728
85364.52052173034,203792.31534155805,-5783.0511529123905
85520.62462534351,203906.95783538633,-5789.438749180234
53380.96052035496,180620.21706889468,-4491.959137187121
65391.979386921514,189321.81816820454,-4976.790833097839
29171.425170562594,163079.39890054398,-3514.6281238294177
72609.45465891757,194552.55535713123,-5268.234574683709
68339.05094129186,191457.03100434635,-5095.759612367561
85434.72425404411,203843.26756103686,-5785.890084586965
20848.889736125875,157049.09994971633,-3178.6347780289216
62650.03453502671,187335.16253584114,-4866.099293869993
44342.66904235454,174071.13906720845,-4127.06070551103
45217.43792628977,174706.0846807665,-4162.438305003248
46421.084678589745,175577.50256527378,-4210.991554683482
46193.05073936576,175411.63510001407,-4201.74982967673
67616.19556426156,190934.93106379287,-5066.669494730071
49230.231359045276,177613.58634824588,-4324.43710823718
45711.520314299254,175063.56847297816,-4182.356417918389
56300.4822914031,182736.0500707792,-4609.8481200145325
35956.125263564885,167994.46010351367,-3788.4831800821994
67405.31778133163,190781.801653403,-5058.13750264197
29034.034756329205,162979.01853045565,-3509.035177828948
63145.17590946892,187694.1703969237,-4886.102324133899
41915.243282103016,172312.5171055833,-4029.074638534439
90216.69298358976,207307.76244398538,-5978.923172452502
57650.22554442076,183712.6932839385,-4664.264264805781
79538.57430487839,199572.84188875405,-5547.952526047564
58750.759823090426,184510.45822501497,-4708.713754607248
68315.42951535546,191440.97205978265,-5094.864847687073
14333.722291487884,152328.97596339165,-2915.641141446322
73289.02253663138,195044.06147742795,-5295.620080308974
