Value,ICER,NMB
81961.17169876126,187825.74556554816,-4893.433367170219
69848.3385641554,187656.05500712033,-4883.978628865894
83348.07762385912,187842.47918468923,-4894.365723049821
78447.28786553191,187777.613476131,-4890.751566169056
69573.78831675978,187654.8176377617,-4883.909685705003
74553.24009704303,187722.22371339772,-4887.665385557513
67836.47968354914,187628.7126156102,-4882.45517842329
77643.54247613018,187765.36136369323,-4890.068908761081
78872.2261887723,187779.81108196572,-4890.874011331922
73585.32992782422,187708.66981268738,-4886.910195726057
76116.48952015927,187743.3975058949,-4888.845136916847
87751.79730541648,187901.62480773922,-4897.661170910709
76174.66227899854,187741.4758234966,-4888.738065525555
79499.7092148281,187789.92879803662,-4891.437745452276
75530.05261014076,187734.3044452141,-4888.338494061056
72254.97561772677,187690.50556744536,-4885.898128897767
73685.13068385054,187707.77278567862,-4886.860215599299
74225.3069525376,187716.8233035657,-4887.364488075822
73819.4345834917,187708.88252665594,-4886.922047622385
83799.785596426,187848.15672740425,-4894.682061690459
71912.93867459305,187684.76360581667,-4885.578200994554
76704.48868355222,187749.6937332891,-4889.195947137923
82221.36950743978,187829.43821639725,-4893.639112544333
83183.59654857196,187841.17739641696,-4894.293190626355
74704.4674202228,187723.18394987384,-4887.7188875594875
80628.8736907744,187805.27554331764,-4892.292828149861
83503.04954470026,187845.25414185622,-4894.520336801244
85922.06884690716,187877.7404769892,-4896.330395062556
84932.68337606857,187865.31819337586,-4895.638256137478
76430.42753236475,187748.4563639305,-4889.127003977032
80458.7718565844,187804.95586764137,-4892.275016611675
86406.1451931892,187885.91584398792,-4896.785906295656
72024.04420763269,187689.8017971784,-4885.858916558776
71578.03357016128,187678.03953159248,-4885.2035522060905
71578.24056304025,187678.03953159248,-4885.2035522060905
85852.36394011401,187876.52377430417,-4896.262603397612
76910.77232629644,187757.12278722713,-4889.6098756527645
73991.94610678976,187716.61058959688,-4887.352636179479
74991.88933151193,187724.7628710286,-4887.806861141871
81243.49911705342,187815.05170759183,-4892.837531848694
73959.53484430895,187714.1127653129,-4887.2134635870025
70896.84945955228,187671.65821861074,-4884.848001226477
79465.2419904674,187787.92203005104,-4891.325933302462
81875.61769398297,187821.8815340777,-4893.218072891672
68414.97954906382,187636.48201189857,-4882.888069972294
88399.8123658209,187916.20457328617,-4898.4735193941015
70344.53902946658,187664.57192591575,-4884.453170520515
80212.80303206618,187801.60476858896,-4892.0883016590815
77623.77935541667,187766.00192449283,-4890.104599224855
74804.41182792588,187724.59269985382,-4887.797379624812
83196.08925753868,187844.31578150054,-4894.468053682605
70467.49895418846,187664.849058798,-4884.468611679418
86048.72454133927,187880.32338686072,-4896.47430841357
70541.45513166046,187665.57470518537,-4884.509042901744
80677.32577038647,187807.62386310016,-4892.423670721211
87012.56230654675,187894.36834386917,-4897.256858687673
79466.0324964636,187790.22780703954,-4891.454405494529
76164.38486466983,187745.7458256777,-4888.975979488212
84747.31709627208,187862.3511889144,-4895.472941985703
74525.05891885303,187724.33744309098,-4887.783157349186
70682.70106395072,187670.80494384284,-4884.80045886639
82701.06735413887,187833.00202941822,-4893.837679393255
85081.86234118698,187869.07526313863,-4895.847590774167
78084.44692589159,187770.20629831313,-4890.338856537535
77935.61643686825,187771.5518388263,-4890.413826727672
70892.70573980323,187674.94610819555,-4885.03119430384
85697.10691676881,187878.85142741312,-4896.392294473015
67266.40137807914,187621.77582741692,-4882.068677738469
83854.47060175476,187849.522934591,-4894.7581833765435
68913.96529070886,187647.30470768275,-4883.491083818997
75075.60270196575,187729.1179587975,-4888.04951586308
74480.20000779681,187718.7012337242,-4887.469121700502
80362.7751546199,187802.56500506456,-4892.141803661027
80169.03329989195,187801.07116949733,-4892.05857083718
71603.49481432627,187684.3163017594,-4885.553278318577
79368.85959283085,187788.3280007614,-4891.3485529865575
75457.60908439185,187735.884575816,-4888.4265350308415
73979.84910828092,187713.47220451356,-4887.177773123243
66662.75477907847,187612.83227123728,-4881.57036490379
79118.32479666994,187783.16218101786,-4891.060726284501
69741.48940486228,187652.83153644894,-4883.799025051092
81704.1515003822,187821.5618584009,-4893.200261353457
74995.30898491706,187729.37442500665,-4888.063805526064
84595.38545614036,187864.1877857252,-4895.575272618458
