Value,ICER,NMB
119539.00178070554,183831.74417938793,-4670.897486310845
69577.63811490781,197956.7538968632,-5457.908099406181
126049.78613853065,181990.14043202,-4568.287879430252
103754.91857951319,188293.65232008422,-4919.503974491876
68593.54050587131,198235.67833268366,-5473.449079244994
87481.31454610224,192896.05746507915,-5175.938608331053
62523.74432145204,199952.55455804683,-5569.109177026039
100290.0032016371,189273.74588389776,-4974.11236428954
105608.85888264155,187769.73260402083,-4890.31246346292
83639.08515654453,193982.44612565968,-5236.4694980737695
93858.24071142169,191091.7516292474,-5075.407148850878
147752.8617771931,175855.07087119456,-4226.456974317727
94099.60499093283,191024.00576093415,-5071.632516590631
108374.2309057962,186987.27800730555,-4846.716028189796
91441.29831474557,191776.01240087237,-5113.532467003926
78491.76423758299,195436.32770660263,-5317.47618460159
84031.4804744302,193870.71270015958,-5230.243987899623
86170.41347657863,193267.03158424387,-5196.608368905101
84560.90716116011,193720.7027981578,-5221.885807104976
77193.53871442414,195804.63888282378,-5337.997572579756
96311.2509601712,190398.68377293175,-5036.791121717048
120748.48781043151,183488.98813511615,-4651.799967092098
125269.42183482573,182211.10464918372,-4580.599459209698
88088.98553997533,192724.9521948958,-5166.405045786014
113433.49670037671,185557.42748944077,-4767.048293072614
126787.04975508004,181781.19174639593,-4556.645775356155
138546.95899139802,178457.48834319084,-4371.457240592368
133680.17930239582,179833.8384061659,-4448.144062659165
95164.24124898374,190723.0073919658,-5054.861631781299
112664.55370593112,185775.45601170784,-4779.196303191813
140956.63576707538,177775.1847014967,-4333.440968879469
77614.11498278083,195686.05550256514,-5331.390399865049
75932.40111173622,196161.367588566,-5357.873613944001
75933.17750956603,196161.367588566,-5357.873613944001
138201.5152625445,178554.70360331537,-4376.873834492348
97178.83019467462,190153.41574073705,-5023.125393462615
85243.25658333357,193528.2294078401,-5211.161665745196
89249.38445245723,192395.19024712918,-5148.031525492697
116231.906006706,184765.89305608303,-4722.9459517544165
85114.8596905225,193564.82150636328,-5213.2004869898665
73397.97667153452,196877.7606949466,-5397.7892663327075
108221.4737675872,187030.99281254035,-4849.15170903939
119142.53390278762,183942.93210098264,-4677.092602356308
64514.6180120198,199390.35836548253,-5537.784995376627
151076.6274234321,174915.75641771944,-4174.1206957094255
71373.34796717146,197449.03672415388,-5429.619354027222
111556.91026588135,186088.7426641681,-4796.651860770813
100205.49448920903,189298.32245088107,-4975.481709828848
88491.67644305323,192610.28307449885,-5160.015965951607
125328.61494065674,182195.1748577822,-4579.711890624036
71821.73323830444,197322.35207221808,-5422.56079848751
139175.6322110449,178280.2389312614,-4361.581341662488
72092.07157439315,197246.50493222818,-5418.334783402286
113652.96345498961,185495.8257628736,-4763.615997197208
144001.60586998102,176914.92583486068,-4285.509472080972
108224.97613875152,187030.01424757455,-4849.097185819293
94056.94191207804,191036.29404442606,-5072.317189360299
132777.10365483916,180089.16483996858,-4462.370220178753
87368.29448461265,192927.2112348687,-5177.6744193466
72609.73551140976,197100.6820420414,-5410.209892552317
122992.83917230678,182854.5863104713,-4616.452666173442
134408.96317683792,179626.84685047262,-4436.611005025217
102183.95689251818,188738.78920126057,-4944.305900775333
101542.79771547999,188920.22562500444,-4954.415089649861
73382.68565436843,196881.67495480904,-5398.00735921305
137433.4874404243,178771.48080866435,-4388.95212432713
60591.57994719069,200498.82095920987,-5599.545790089804
128466.13034416194,181307.13097731266,-4530.232281561592
66256.17213321652,198896.34110229136,-5510.259575078846
89588.70208070519,192298.68080001764,-5142.654257748465
87188.53089128606,192977.77599486258,-5180.491762736783
112231.6636729332,185898.2264037812,-4786.036765851182
111360.3349015765,186144.4730009417,-4799.757017325712
76027.93072467193,196133.85532668556,-5356.340698744418
107794.83965861586,187151.53332273033,-4855.867928194275
91144.78345844147,191858.98224757388,-5118.155341694073
85195.32373934695,193542.74757321566,-5211.970582019363
58577.928174934976,201067.16129352053,-5631.212308124072
106689.49765810661,187463.56865827247,-4873.253765488858
69193.84447076607,198066.5301924314,-5464.024563140119
118349.7516685611,184168.3560819139,-4689.652669144765
89263.2335510659,192391.0032353142,-5147.79823554802
132038.97990368376,180296.5894567228,-4473.927406904142
132215.08962071713,180247.003261695,-4471.16458673407
94447.23050735882,190927.0632527622,-5066.231119754986
108965.89999378781,186820.08699698464,-4837.4005585251
62785.40359691589,199878.6645479883,-5564.992208380994
117437.8539867579,184425.6396456477,-4703.987873104517
112445.63333887699,185837.3304902273,-4782.643796131539
132118.1878153675,180275.76684049304,-4472.767222218041
50630.417639659485,203315.07994165824,-5756.4607765389665
105701.20170994228,187744.7229759766,-4888.918988832171
83085.19491617165,194138.32741745422,-5245.154818188879
84204.52424731707,193820.8537531787,-5227.465970665187
85737.29980227324,193388.2779074471,-5203.363914215748
85447.55487520382,193470.54194113563,-5207.947462750148
111594.82793366448,186077.43294564172,-4796.021711221227
89282.98195045625,192386.11041048646,-5147.52561944761
84834.72886776422,193643.87709320209,-5217.605268799656
98030.92029295076,189913.5860372757,-5009.76267543729
72095.88219340556,197245.52636726238,-5418.2802601821895
111346.29737962881,186147.13594388554,-4799.905389921609
62592.08010740163,199933.41631979586,-5568.042841715782
106292.75445375445,187577.53196565594,-4879.603519167489
79954.31314309176,195022.8900991215,-5294.440463462379
137486.55772480735,178757.5081471936,-4388.173602181618
99675.10089302248,189448.33235288283,-4983.839890623494
125423.50121787176,182167.6625959015,-4578.178975424438
101010.06730201788,189069.9627750537,-4962.758073380173
112417.857945766,185844.18044498586,-4783.0254586720985
40241.79622957054,206253.40350316724,-5920.176899491766
118227.11488151872,184202.71829855317,-4691.5672468849225
120172.34565310579,183652.26488557513,-4660.897343876481
106818.55009765814,187428.50062861995,-4871.299861592939
135194.97235138694,179404.90406834363,-4424.2449020257045
143056.3217634225,177182.54055215558,-4300.420302370243
75398.96424449956,196312.35605553281,-5366.2863179587
120921.61348759069,183440.38050505388,-4649.091670142108
140177.62985556296,177996.42167061323,-4345.767745723264
112446.60572408329,185836.0791733092,-4782.574075847122
77647.62770463336,195675.72434900433,-5330.814773535545
106435.30203893421,187537.02560727086,-4877.346605042505
68430.28108108805,198281.07751589673,-5475.978609470403
109660.22952142656,186624.67791177056,-4826.512847505088
122643.97255608188,182952.78013556058,-4621.92378329346
69952.62849237336,197851.71011701378,-5452.055319745516
115236.981892219,185047.75318680063,-4738.650501253505
104766.05295785503,188007.87792950444,-4903.581332112459
90328.3098468298,192090.00486634584,-5131.027350738688
88422.7594312808,192629.42131274982,-5161.082301261864
91639.18180780645,191719.03074718063,-5110.357590164611
119235.41338174195,183916.67115602028,-4675.629407441142
71261.71915304837,197481.71456281462,-5431.440082391549
145394.32722595203,176520.62646563028,-4263.540086252004
133347.7671084562,179926.86665447569,-4453.327366614481
134051.37496341683,179728.2491224119,-4442.26088886986
75803.28783603769,196196.43561821827,-5359.827517839905
101665.21766816525,188885.86340836546,-4952.500511909719
108821.87292962948,186861.84467228784,-4839.727192934501
118229.01765914849,184201.46698163505,-4691.497526600506
86845.17628591294,193075.2640069394,-5185.923553701083
76450.52313668745,196014.29338146138,-5349.679002809629
98266.33804684524,189846.54598197518,-5006.027369332776
132110.63416547904,180277.72397042438,-4472.8762686582195
90940.33865166303,191916.66971427886,-5121.369544689151
84009.74267236337,193876.85684190542,-5230.58632428445
129450.81392899701,181029.73061036284,-4514.776219071529
87389.82720841949,192921.06709312313,-5177.332082961788
145327.56392854344,176540.03745583355,-4264.621618626581
106995.3961802113,187378.9144335924,-4868.537041422882
150107.43548986543,175189.24252480734,-4189.358665319174
92560.35697755661,191460.06280546804,-5095.928536829015
